BLOCK,Gram Panchayat,Village,Coordinate,Latitude,Longitude,PH,EC1:2 (ds/m),O/C (%),N (kg/ha),P (kg/ha),K (kg/ha),Cu (ppm),Zn (ppm),Fe (ppm),Mn (ppm),B (ppm),S (ppm),Sand (%),Silt (%),Clay (%),Soil Type,Coordinate
Kultali,Maipith Baikunthapur,Kisorimohanpur,,21.86906994,88.52516656,5.28,1.25,1.33,595.95,49.34,1064.39,2.797,0.622,22.97,13.43,0.65,19.71,17.5,58.88,23.62,Silty Clay Loam,
Kultali,Maipith Baikunthapur,Maipit,,21.91186654,88.55733207,5.78,1.775,1.5725,704.67,57.02,959.28,2.87,0.952,23.72,15.46,0.82,32.2,15.62,59.5,24.87,Silty Clay Loam,
Kultali,Gurguriya Bhubaneswari,Bhubaneshwari,,21.94003958,88.5328669,5.4325,2,1.405,630.76,53.91,982.738,2.69,0.72,29.32,15.57,1.47,21.5,16.87,56.38,26.75,Silt Loam,
Kultali,Gurguriya Bhubaneswari,Paschim Debipur,,21.9503516,88.51418272,6.765,2.325,1.6175,724.22,92.77,833.09,3.522,0.745,33.1,11.7,1.31,8.72,18.12,62.63,19.25,Silt Loam,
Kultali,Gurguriya Bhubaneswari,Purba Gurguria,,21.99274822,88.57246739,5.8725,0.8125,1.4113,632.12,70.81,940.09,2.597,0.495,27.615,13.895,1.44,16.41,17.5,54.81,27.68,Silt Loam,
Kultali,Gurguriya Bhubaneswari,Madhya Gurguria,,21.98672923,88.55395176,4.985,2.085,1.475,660.87,54.44,840.33,2.66,0.457,29.5,15.66,1.48,18.83,16.87,55.75,27.37,Silt Loam,
Gosaba,Amtali,Amtali,,22.25380614,88.88549409,6.10167,1.516,1.275,571.18,113.8,1113.26,2.898,1.588,8.678,15.71,1.27,49.1,13.75,61.5,24.75,Silty Clay Loam,
Gosaba,Mathurakhanda,Bali-I,,22.08680194,88.73064257,6.7025,1.05,1.0275,461.43,88.14,1049.18,2.29,0.947,8.31,15.53,1.36,27.55,12.5,62.13,25.37,Silty Clay Loam,
Gosaba,Birajnagar,Bali-II,,22.1285272,88.75902466,5.135,1.183,1.1467,513.43,134.44,904.83,2.7616,1.041,8.92,17.03833,1.09,25.45,15.83,51.58,32.58,Silty Clay ,
Gosaba,Lahiripur,Lahiripur,,22.11047379,88.90626446,5.29125,1.05,1.4163,634.46,74.25,980.72,2.036,1.111,8.99,16.95,1.27,30.068,16.56,53.06,30.37,Silty Clay ,
Pathar Pratima,Sridhar Nagar,Upendra Nagar,,21.77313881,88.4647239,4.9,0.8,1.02,457.6,25.27,1163.23,0.655,0.515,32.83,17.89,1.55,18.08,11.25,49,39.75,Clay Loam,
Pathar Pratima,Sridhar Nagar,Rakhalpur,,21.77181241,88.45599181,5.39,2,1.08,482.56,64.22,1102.45,0.745,0.615,28.83,20.36,1.47,18.705,13.75,54,32.25,Clay Loam,
Pathar Pratima,Sridhar Nagar,Sridhar Nagar,,21.72784694,88.43431954,5.96,0.85,0.835,374.4,71.22,1203.37,1.73,0.64,18.995,14.69,1.44,28.71,11.25,51.5,37.25,Clay Loam,
Pathar Pratima,G Plot,Indrapur,,21.65631712,88.39817462,5.925,1.2,0.875,391.04,69.43,1223.47,1.05,0.695,25.34,11.44,0.71,44.16,16.25,54,29.75,Loam,
Pathar Pratima,G Plot,Dakshin Surendraganj,,21.67809342,88.38624189,5.62,0.85,0.74,332.8,61.34,957.97,2.275,1.22,32.9,14.91,0.68,24.31,12.5,55.25,32.25,Clay Loam,
Pathar Pratima,Achinta Nagar,Paschim Sripatinagar,,21.80816549,88.46561995,6.4125,1.525,0.6325,282.88,101.23,1204.41,1.9625,0.985,28.05,13.43,1.13,19.995,16.25,55.88,27.87,Loam,
Pathar Pratima,G Plot,Satyadaspur,,21.71552871,88.41370971,6.94,1.5,0.37,166.4,55.37,977.94,1.895,11,31.88,14.77,1.45,24.31,11.25,52,36.75,Clay Loam,
