START,FINISH,CROPS,STAGES
28-11-2023,18-12-2023,BORO RICE,PREPARATION
18-12-2023,26-01-2024,BORO RICE,PREPARATION
26-01-2024,01-02-2024,BORO RICE,PREPARATION
03-12-2023,18-12-2023,CHILLI,NEWLY PLANTED
18-12-2023,01-01-2024,CHILLI,VEGETATIVE
03-12-2023,13-12-2023,POTATO,PREPARATION
13-12-2023,28-12-2023,POTATO,NEWLY PLANTED
28-12-2023,17-01-2024,POTATO,VEGETATIVE
17-01-2024,01-02-2024,POTATO,MATURITY
03-12-2023,28-12-2023,ONION,PREPARATION
28-12-2023,07-01-2024,ONION,NEWLY PLANTED
07-01-2024,01-02-2024,ONION,VEGETATIVE
03-12-2023,01-01-2024,CREEPING BEANS,NEWLY PLANTED
11-02-2024,21-02-2024,EGGPLANT,PREPARATION
21-02-2024,01-03-2024,EGGPLANT,NEWLY PLANTED
08-12-2023,13-12-2023,TOMATO,PREPARATION
13-12-2023,28-12-2023,TOMATO,NEWLY PLANTED
28-12-2023,01-01-2024,TOMATO,VEGETATIVE
13-12-2023,18-12-2023,TURNIP,PREPARATION
18-12-2023,01-01-2024,TURNIP,NEWLY PLANTED
13-12-2023,18-12-2023,CABBAGE,PREPARATION
18-12-2023,01-01-2024,CABBAGE,NEWLY PLANTED
13-12-2023,02-01-2024,CAULIFLOWER,PREPARATION
02-01-2024,01-02-2024,CAULIFLOWER,NEWLY PLANTED
13-12-2023,18-12-2023,BROCCOLI,PREPARATION
18-12-2023,01-01-2024,BROCCOLI,NEWLY PLANTED
13-12-2023,23-12-2023,MUSTARD,PREPARATION
23-12-2023,01-01-2024,MUSTARD,NEWLY PLANTED
23-12-2023,01-02-2024,KHESARI,PREPARATION
01-02-2024,01-03-2024,KHESARI,NEWLY PLANTED
16-02-2024,01-03-2024,SWEET PUMPKIN,NEWLY PLANTED
01-02-2024,01-03-2024,PUMPKIN,NEWLY PLANTED
11-02-2024,16-02-2024,BITTER GOURD,PREPARATION
16-02-2024,01-03-2024,BITTER GOURD,NEWLY PLANTED
22-01-2024,01-02-2024,POINTED GOURD,NEWLY PLANTED
17-01-2024,21-02-2024,MUNG DAL,NEWLY PLANTED
21-02-2024,01-03-2024,MUNG DAL,PREPARATION
16-02-2024,01-03-2024,CUCUMBER,PREPARATION
16-02-2024,01-03-2024,BOTTLE GOURD,PREPARATION
16-02-2024,01-03-2024,RIDGE GOURD,PREPARATION
26-02-2024,01-03-2024,SESAME,PREPARATION
02-01-2024,01-02-2024,BEAN PLANT(SHEEM),NEWLY PLANTED
02-01-2024,01-02-2024,"ROOTS(RADISH,CARROT)",NEWLY PLANTED
07-01-2024,01-02-2024,SWEET POTATO,NEWLY PLANTED
01-02-2024,01-03-2024,SQUASH,NEWLY PLANTED
01-02-2024,01-03-2024,GARLIC,NEWLY PLANTED
11-02-2024,01-03-2024,BETEL LEAF,NEWLY PLANTED
